carat,cut,color,clarity,depth,table,x,y,z,price
1.09,Very Good,F,VS2,61.4,54.0,6.66,6.7,4.1,6990
2.03,Fair,H,I1,64.4,59.0,7.91,7.85,5.07,6002
0.38,Ideal,D,VVS2,61.3,56.0,4.73,4.63,2.87,1257
1.01,Very Good,G,VS1,63.1,59.0,6.32,6.23,3.96,5294
1.2,Premium,G,VS2,59.4,58.0,6.91,6.85,4.09,7258
0.72,Ideal,G,VS1,61.6,56.0,5.75,5.78,3.55,3478
0.78,Ideal,F,SI2,59.7,57.0,6.01,5.98,3.58,2431
0.4,Very Good,J,VS1,62.1,57.0,4.69,4.72,2.92,606
0.31,Ideal,G,SI2,60.5,57.0,4.36,4.4,2.65,408
0.75,Very Good,D,SI1,63.2,56.0,5.8,5.75,3.65,2760
1.36,Premium,H,SI2,60.1,56.0,7.23,7.18,4.38,5103
0.3,Ideal,F,VS1,61.5,55.0,4.35,4.33,2.67,754
1.02,Ideal,F,VS1,61.0,56.0,6.54,6.5,3.98,7654
1.01,Premium,F,SI2,61.6,58.0,6.39,6.4,3.94,4416
1.51,Ideal,E,VS2,61.2,57.0,7.47,7.37,4.54,15025
0.55,Premium,G,SI1,60.7,56.0,5.38,5.32,3.25,1226
0.75,Ideal,D,VS1,62.4,54.0,5.86,5.84,3.65,3696
0.3,Premium,H,VS2,60.9,61.0,4.35,4.32,2.64,608
0.31,Very Good,F,SI1,63.1,57.0,4.31,4.28,2.71,663
0.51,Ideal,H,VS2,61.6,55.0,5.13,5.16,3.17,1163
0.44,Ideal,G,IF,61.3,55.0,4.91,4.95,3.02,1378
1.24,Very Good,F,VVS2,59.0,58.0,6.98,7.03,4.13,11234
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4309
0.79,Very Good,D,SI2,59.7,58.0,6.0,6.07,3.6,2878
1.28,Very Good,H,VS1,61.2,55.0,6.98,7.04,4.29,8645
1.24,Very Good,F,VVS1,62.7,61.0,6.75,6.84,4.26,11716
1.43,Ideal,E,VVS2,62.4,57.0,7.25,7.15,4.49,14429
0.32,Very Good,G,SI2,62.4,59.0,4.35,4.4,2.73,421
2.01,Good,I,SI1,58.5,62.0,8.24,8.31,4.84,14998
0.34,Ideal,D,VS2,60.6,57.0,4.53,4.51,2.74,1033
1.03,Premium,I,SI1,58.4,60.0,6.6,6.58,3.85,3288
1.04,Premium,F,VS2,61.9,58.0,6.55,6.51,4.04,6908
0.71,Very Good,E,VS2,61.2,58.0,5.71,5.79,3.52,2891
2.35,Very Good,I,SI2,58.5,57.0,8.72,8.77,5.12,15122
0.4,Very Good,H,VS1,61.8,53.0,4.76,4.78,2.95,770
1.24,Premium,I,VS2,60.1,59.0,7.02,6.95,4.2,5889
0.25,Ideal,F,VS1,61.1,58.0,4.04,4.08,2.48,595
1.01,Premium,G,SI2,63.0,58.0,6.34,6.29,3.98,4038
0.75,Premium,F,VS2,59.6,59.0,6.04,5.94,3.57,2835
0.32,Ideal,I,VS1,61.4,55.3,4.39,4.42,2.7,529
0.35,Premium,F,VS2,61.4,59.0,4.53,4.56,2.79,706
1.0,Very Good,G,VVS1,62.3,55.0,6.34,6.44,3.98,8246
0.3,Premium,F,VS2,62.2,58.0,4.28,4.31,2.67,605
0.31,Ideal,G,SI2,62.0,55.0,4.34,4.37,2.7,391
1.01,Premium,E,SI1,62.4,58.0,6.42,6.37,3.99,4480
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,15450
0.5,Very Good,E,SI1,62.4,58.0,5.06,5.01,3.14,1090
0.45,Good,F,VS1,57.6,62.5,5.05,5.09,2.91,1144
1.01,Ideal,G,VS1,61.5,56.0,6.48,6.43,3.97,6794
0.32,Ideal,G,VS2,61.7,57.0,4.38,4.4,2.71,561
0.44,Premium,E,VS2,60.4,59.0,4.9,4.93,2.97,1003
1.22,Good,J,VS1,58.5,61.0,6.94,7.0,4.08,5356
0.56,Ideal,D,VS2,62.1,57.0,5.25,5.28,3.27,1963
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5539
0.32,Ideal,F,VS2,61.3,56.0,4.43,4.41,2.71,828
0.32,Ideal,E,VS2,62.1,56.0,4.38,4.41,2.73,702
1.04,Ideal,I,VS2,61.5,57.0,6.49,6.52,4.0,5105
0.52,Very Good,H,VS2,61.4,55.0,5.19,5.24,3.2,1389
0.93,Premium,G,VS1,62.1,59.0,6.21,6.16,3.84,4793
0.35,Very Good,E,IF,57.9,56.0,4.71,4.75,2.74,1025
0.32,Premium,H,VVS1,62.5,58.0,4.37,4.33,2.72,936
0.79,Ideal,D,SI1,61.2,56.0,6.02,5.95,3.66,3185
0.47,Premium,J,SI2,61.9,59.0,4.99,4.96,3.08,867
0.4,Good,G,SI1,63.3,58.0,4.66,4.69,2.96,655
0.55,Very Good,G,VVS1,60.8,58.0,5.25,5.3,3.21,1838
0.34,Ideal,E,VS1,61.2,57.0,4.51,4.45,2.74,1033
0.3,Ideal,E,VS2,61.4,56.0,4.32,4.34,2.66,795
1.09,Ideal,H,SI1,61.1,57.0,6.6,6.69,4.1,5125
0.76,Ideal,F,VS1,61.9,55.0,5.88,5.84,3.63,3820
0.3,Very Good,E,VS2,62.6,62.0,4.21,4.25,2.65,614
1.01,Premium,F,SI2,60.0,60.0,6.46,6.4,3.86,3717
0.31,Premium,H,VVS2,61.2,60.0,4.39,4.37,2.68,802
0.56,Ideal,D,VS1,61.7,56.0,5.33,5.3,3.28,2026
2.22,Very Good,I,SI2,63.2,57.0,8.28,8.23,5.22,16547
1.12,Very Good,E,SI2,60.9,63.0,6.65,6.59,4.03,3864
1.05,Ideal,E,VVS2,62.4,56.0,6.49,6.52,4.06,8982
0.37,Ideal,G,IF,62.1,54.0,4.6,4.64,2.87,1056
0.56,Ideal,F,SI1,62.3,55.0,5.27,5.32,3.3,1436
0.3,Very Good,E,VVS1,61.8,56.0,4.29,4.32,2.66,1006
0.42,Ideal,J,VS1,61.4,55.0,4.83,4.85,2.97,664
0.4,Premium,G,SI1,61.1,61.0,4.76,4.7,2.89,900
0.4,Very Good,F,SI1,62.1,57.0,4.65,4.69,2.9,687
0.91,Very Good,J,I1,63.1,57.0,6.12,6.06,3.84,2048
1.12,Very Good,D,SI1,62.2,59.0,6.65,6.67,4.14,5966
0.24,Ideal,G,VS1,61.8,56.0,3.99,4.04,2.48,442
1.0,Ideal,D,SI1,62.7,57.0,6.34,6.38,3.99,6073
1.8,Premium,I,SI1,61.9,60.0,7.78,7.74,4.8,11948
0.49,Premium,G,SI1,60.6,60.0,5.1,5.06,3.08,1026
0.5,Premium,D,SI1,61.3,60.0,5.15,5.1,3.14,1279
0.44,Very Good,J,VVS2,63.6,58.0,4.8,4.83,3.06,834
0.43,Premium,F,VS2,61.0,57.0,4.87,4.84,2.96,968
0.36,Ideal,E,VS1,61.8,54.0,4.56,4.6,2.83,835
0.42,Ideal,D,VVS2,62.1,55.0,4.78,4.81,2.98,1326
0.72,Ideal,F,VS2,60.3,56.0,5.84,5.81,3.51,2724
0.7,Premium,G,VS2,62.9,62.0,5.63,5.57,3.52,2550
1.21,Premium,G,VVS2,59.6,60.0,6.89,6.91,4.11,9370
1.05,Ideal,H,SI2,61.2,57.0,6.59,6.54,4.02,4410
1.52,Premium,I,VS2,59.0,59.0,7.53,7.46,4.42,9057
0.5,Premium,E,VS2,61.8,59.0,5.12,5.08,3.15,1629
0.7,Premium,E,VVS1,61.7,59.0,5.71,5.67,3.51,3294
1.04,Fair,G,VS1,64.9,58.0,6.36,6.33,4.12,5633
1.03,Ideal,G,VS2,61.6,55.0,6.49,6.54,4.01,7064
0.41,Ideal,J,VVS1,61.2,57.0,4.82,4.79,2.94,994
0.75,Ideal,E,VS2,62.0,56.0,5.82,5.85,3.62,3120
1.21,Very Good,J,SI1,62.7,57.0,6.72,6.77,4.23,4312
0.43,Premium,H,I1,62.0,59.0,4.83,4.78,2.98,581
2.02,Good,F,SI2,61.9,61.0,8.06,8.02,4.98,15261
1.21,Ideal,H,VS2,62.8,55.0,6.79,6.74,4.25,5882
1.07,Premium,F,SI2,61.8,59.0,6.53,6.57,4.05,4560
1.73,Premium,G,VS2,62.9,58.0,7.65,7.58,4.79,16960
1.06,Premium,I,SI2,58.4,58.0,6.7,6.65,3.9,4007
1.53,Good,E,SI1,63.5,58.0,7.29,7.35,4.65,11303
0.73,Ideal,E,SI2,61.2,54.0,5.88,5.86,3.59,2581
0.9,Good,D,SI2,63.8,58.0,6.09,6.13,3.9,3806
0.23,Very Good,D,VVS2,60.4,59.0,3.95,4.0,2.4,530
0.3,Ideal,H,SI1,60.9,58.0,4.31,4.33,2.63,450
0.71,Premium,I,SI2,62.1,58.0,5.7,5.67,3.53,1696
1.39,Ideal,J,VS2,60.9,57.0,7.2,7.25,4.4,6831
0.37,Ideal,F,VS1,61.7,56.0,4.63,4.61,2.85,1041
0.7,Very Good,F,SI1,61.1,57.0,5.7,5.73,3.49,2409
0.71,Good,G,SI1,63.6,56.0,5.65,5.67,3.6,2428
0.3,Very Good,E,VS2,62.0,58.0,4.26,4.29,2.65,658
0.55,Ideal,E,SI1,60.7,57.0,5.3,5.27,3.21,1668
1.01,Premium,G,SI2,61.9,59.0,6.46,6.39,3.98,4327
0.73,Ideal,D,SI1,62.4,53.0,5.79,5.82,3.62,3195
0.34,Ideal,H,VS2,62.2,56.0,4.48,4.53,2.8,537
0.46,Ideal,H,VVS1,62.3,54.0,4.96,4.99,3.1,1227
1.56,Good,J,VS2,57.6,65.0,7.6,7.62,4.38,6966
0.4,Very Good,G,VS2,61.9,59.0,4.67,4.7,2.9,772
0.35,Ideal,F,VVS1,61.3,55.0,4.55,4.58,2.8,1096
0.46,Very Good,G,VS1,62.8,57.0,4.92,4.83,3.06,1049
0.71,Very Good,I,VS2,61.1,60.0,5.72,5.77,3.51,2384
0.71,Premium,E,SI2,61.4,59.0,5.74,5.7,3.51,2306
0.55,Very Good,J,SI1,62.5,57.0,5.22,5.24,3.27,965
0.31,Ideal,E,VS1,61.7,56.0,4.41,4.37,2.71,942
1.3,Premium,I,VS1,62.2,59.0,6.91,6.97,4.32,6806
0.41,Ideal,J,VS1,60.2,57.0,4.85,4.81,2.91,830
1.1,Premium,G,SI2,,59.0,6.71,6.59,4.08,4650
0.63,Good,F,VS1,61.6,60.7,5.46,5.52,3.38,2188
0.75,Ideal,I,VS1,61.9,54.1,5.82,5.85,3.61,2564
0.31,Ideal,G,SI1,63.0,56.0,4.34,4.3,2.72,593
0.3,Very Good,G,IF,61.4,59.0,4.27,4.3,2.63,831
1.25,Premium,H,SI1,60.7,58.0,7.04,6.99,4.26,5027
0.97,Fair,G,I1,57.2,60.0,6.59,6.36,3.72,1547
0.8,Ideal,H,SI2,62.4,57.0,5.91,5.83,3.66,2122
1.0,Good,F,SI1,63.3,61.0,6.29,6.31,3.99,4712
1.11,Very Good,I,SI2,61.2,61.0,6.65,6.69,4.08,3956
0.74,Good,G,VS2,64.2,53.0,5.72,5.69,3.66,2322
0.91,Ideal,I,VS1,62.5,55.0,6.25,6.2,3.89,3669
0.71,Fair,H,SI1,65.1,56.0,5.63,5.55,3.64,2112
1.21,Fair,I,I1,65.0,58.0,6.65,6.59,4.3,2396
1.01,Premium,F,SI2,62.6,54.0,6.38,6.34,3.98,4468
0.7,Ideal,E,SI1,60.2,57.0,5.78,5.82,3.49,2575
0.57,Ideal,G,VVS2,60.7,55.0,5.36,5.34,3.25,2206
1.01,Very Good,D,SI1,61.6,59.0,6.42,6.47,3.97,5815
0.5,Premium,E,SI1,61.4,59.0,5.09,5.01,3.1,1155
0.34,Premium,H,VS1,62.1,58.0,4.49,4.46,2.78,765
1.5,Very Good,J,VVS2,63.3,56.0,7.18,7.29,4.58,8391
0.57,Ideal,F,VVS1,60.7,57.0,5.39,5.36,3.26,2507
0.52,Ideal,D,VS2,61.8,56.0,5.17,5.15,3.19,1919
0.71,Very Good,I,SI1,60.2,58.0,5.76,5.83,3.49,2063
1.01,Good,D,SI1,58.5,64.0,6.4,6.45,3.76,5271
0.7,Ideal,F,VS1,61.7,55.0,5.72,5.76,3.54,3154
1.41,Premium,G,VS1,62.1,59.0,7.1,7.06,4.4,11347
0.82,Ideal,G,VVS2,62.1,56.0,5.97,6.01,3.72,4130
1.14,Very Good,E,SI2,60.0,54.0,6.74,6.97,4.11,5593
1.41,Premium,H,VS2,61.2,60.0,7.17,7.21,4.4,8654
1.54,Premium,G,VS2,63.0,59.0,7.36,7.3,4.62,11815
0.41,Ideal,D,SI1,62.7,56.0,4.78,4.73,2.98,1015
0.31,Premium,E,VS2,62.7,58.0,4.31,4.33,2.71,680
0.52,Premium,G,VS1,61.7,56.0,5.21,5.17,3.2,1815
0.4,Ideal,G,VVS1,,57.0,4.75,4.76,2.93,1123
0.3,Ideal,G,VVS1,62.0,58.0,4.28,4.3,2.66,764
1.55,Very Good,G,SI2,61.9,60.0,7.31,7.36,4.54,8873
0.77,Ideal,D,SI2,60.6,56.0,5.9,5.95,3.59,2973
1.0,Good,I,VS2,61.7,60.2,6.29,6.35,3.9,4761
1.0,Good,D,SI1,65.1,54.0,6.23,6.27,4.07,4786
1.0,Ideal,E,SI2,62.3,57.0,6.33,6.28,3.93,4077
1.01,Good,E,SI1,64.2,56.0,6.31,6.27,4.04,4032
0.74,Very Good,E,VVS2,61.9,59.0,5.74,5.77,3.56,3616
0.91,Very Good,D,SI1,61.5,59.0,6.18,6.25,3.82,4239
0.53,Ideal,G,VS1,61.9,55.0,5.22,5.25,3.24,1695
0.31,Good,F,VS2,63.4,56.0,4.29,4.32,2.73,625
0.42,Ideal,E,VVS2,61.3,56.0,4.81,4.85,2.96,1216
1.58,Premium,F,SI2,60.7,60.0,7.54,7.51,4.57,6990
0.91,Ideal,G,SI1,60.8,58.0,6.21,6.29,3.8,4922
1.22,Ideal,H,VVS2,61.7,56.0,6.83,6.87,4.23,9366
1.09,Good,F,SI2,63.2,58.0,6.49,6.54,4.12,4766
1.5,Good,F,SI2,62.6,64.0,7.25,7.19,4.52,8820
0.33,Ideal,H,VS2,60.7,55.0,4.48,4.51,2.73,551
1.24,Ideal,G,VS2,62.0,56.0,6.87,6.9,4.27,8797
1.5,Premium,J,VS2,59.6,60.0,7.38,7.31,4.38,7503
0.71,Premium,D,SI1,60.6,58.0,5.79,5.77,3.5,2863
0.91,Very Good,G,SI2,60.0,57.0,6.27,6.32,3.78,3531
1.01,Premium,I,VS2,62.5,58.0,6.44,6.39,4.01,4676
0.24,Very Good,F,SI1,60.9,61.0,4.02,4.03,2.45,404
1.69,Premium,G,VVS2,62.9,58.0,7.59,7.51,4.75,15889
1.01,Ideal,I,SI1,60.6,57.0,6.51,6.56,3.96,3999
1.02,Very Good,F,SI1,60.2,60.0,6.55,6.61,3.96,5077
0.51,Good,D,SI2,63.9,55.0,5.1,5.04,3.24,1268
2.01,Ideal,H,SI1,62.8,54.0,8.03,8.08,5.05,18186
1.5,Premium,H,VS2,61.8,59.0,7.3,7.35,4.53,11360
1.54,Premium,J,VS2,59.3,59.0,7.54,7.5,4.46,6202
0.2,Premium,E,VS2,59.0,60.0,3.81,3.78,2.24,367
0.9,Good,H,SI1,61.4,60.0,6.06,6.12,3.74,3730
0.61,Ideal,E,VVS2,62.1,54.2,5.43,5.45,3.38,2907
0.43,Ideal,G,IF,62.4,54.0,4.84,4.87,3.03,1318
1.01,Premium,F,SI2,62.0,59.0,6.49,6.43,4.01,4072
0.59,Ideal,I,SI2,62.8,57.0,5.33,5.37,3.36,1202
0.36,Very Good,G,VS1,61.8,56.0,4.57,4.6,2.84,741
0.35,Very Good,D,VS1,63.9,55.0,4.49,4.53,2.88,792
1.1,Premium,H,SI2,60.9,57.0,6.67,6.62,4.05,4558
1.01,Very Good,E,VS2,63.2,57.0,6.38,6.35,4.02,6787
0.75,Premium,E,VS2,62.1,57.0,5.9,5.79,3.63,3024
0.41,Very Good,J,VS1,62.0,55.0,4.74,4.77,2.95,647
0.9,Good,H,SI2,63.1,55.0,6.08,6.13,3.85,3024
0.55,Ideal,G,VVS2,62.3,53.0,5.27,5.29,3.29,1799
0.43,Ideal,F,VVS1,62.0,57.0,4.81,4.84,2.99,1358
0.27,Ideal,F,VVS2,61.2,58.0,4.15,4.19,2.55,667
0.33,Premium,G,VS1,60.5,58.0,4.43,4.49,2.7,666
0.91,Premium,E,I1,59.6,59.0,6.29,6.32,3.76,2464
1.5,Very Good,D,SI1,63.1,57.0,7.31,7.24,4.59,11863
0.31,Ideal,I,SI1,62.2,56.0,4.34,4.37,2.71,418
1.2,Very Good,I,SI1,63.1,58.0,6.72,6.66,4.22,4838
0.52,Ideal,G,VS1,61.4,56.0,5.18,5.21,3.19,1722
0.75,Premium,G,SI2,62.7,58.0,5.82,5.76,3.63,2268
1.11,Very Good,H,SI2,61.5,59.0,6.56,6.61,4.05,4029
0.87,Ideal,G,I1,61.5,57.0,6.09,6.04,3.73,1827
1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,4619
0.7,Premium,E,VS2,61.4,59.0,5.73,5.7,3.51,2858
1.0,Premium,G,SI2,62.7,59.0,6.3,6.36,3.97,4095
0.78,Ideal,E,SI1,62.1,58.0,5.86,5.9,3.65,3146
0.32,Ideal,E,SI2,,55.0,4.36,4.41,2.72,449
0.7,Very Good,E,VS1,61.3,60.0,5.68,5.7,3.49,2952
0.8,Ideal,G,VVS2,61.4,57.0,5.96,6.0,3.67,4740
0.7,Ideal,E,SI1,61.8,56.0,5.72,5.68,3.52,2576
1.5,Good,J,SI2,63.6,57.0,7.3,7.23,4.62,6750
0.52,Very Good,D,SI1,63.8,56.0,5.06,5.1,3.24,1452
1.03,Very Good,F,SI1,62.5,59.0,6.41,6.45,4.02,4282
0.9,Premium,D,SI2,61.2,62.0,6.22,6.07,3.76,4133
0.54,Ideal,F,VS2,60.3,55.0,5.32,5.26,3.19,1786
0.25,Very Good,F,VVS2,61.8,58.0,4.05,4.07,2.51,575
2.01,Premium,F,SI2,61.3,58.0,8.14,8.07,4.97,14067
0.36,Very Good,G,VS1,61.2,60.0,4.56,4.59,2.8,726
1.04,Premium,F,VVS2,61.6,59.0,6.53,6.49,4.01,9505
1.44,Ideal,D,SI1,63.0,55.0,7.23,7.18,4.54,10725
0.71,Ideal,H,VVS2,61.7,57.0,5.68,5.73,3.53,3371
0.32,Premium,G,VS2,61.9,58.0,4.36,4.43,2.72,561
0.7,Fair,H,SI1,65.5,57.0,5.53,5.59,3.64,2048
0.75,Ideal,E,SI1,61.7,56.0,5.84,5.86,3.61,2964
0.32,Ideal,H,VS2,61.3,56.0,4.42,4.45,2.72,523
0.58,Very Good,F,VS2,60.7,63.0,5.39,5.36,3.26,1914
1.25,Ideal,H,VS1,62.1,57.0,6.89,6.92,4.29,8365
0.71,Premium,H,IF,62.9,60.0,5.74,5.67,3.59,3349
0.4,Ideal,E,VVS1,61.5,56.0,4.75,4.78,2.93,1333
0.41,Very Good,F,VS2,62.8,58.0,4.69,4.73,2.96,863
0.34,Ideal,G,VVS1,62.1,57.0,4.47,4.45,2.77,956
0.32,Ideal,F,VVS2,61.6,55.0,4.41,4.42,2.72,945
0.31,Ideal,E,VS2,61.0,56.0,4.38,4.34,2.66,872
1.14,Very Good,G,VS2,63.2,56.0,6.67,6.63,4.2,6435
0.31,Premium,D,SI2,61.8,60.0,4.37,4.33,2.69,593
0.53,Ideal,I,SI1,61.6,56.6,5.19,5.21,3.21,1127
0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61,2793
0.52,Premium,F,SI1,61.5,60.0,5.16,5.15,3.17,1280
0.55,Premium,H,SI2,62.4,56.0,5.23,5.2,3.25,1246
0.72,Ideal,J,VVS2,60.9,58.0,5.74,5.78,3.51,2136
0.32,Ideal,F,SI1,60.6,57.0,4.45,4.49,2.71,604
0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,1251
0.59,Ideal,I,SI1,61.7,55.0,5.41,5.39,3.33,1352
0.42,Ideal,G,SI1,61.6,56.0,4.81,4.84,2.97,896
1.42,Ideal,I,VS2,60.4,55.0,7.28,7.38,4.43,8173
0.82,Ideal,I,SI2,61.1,57.0,6.05,6.09,3.71,2075
0.31,Ideal,F,IF,61.0,56.0,4.39,4.43,2.69,914
1.5,Good,G,VS2,59.0,58.0,7.41,7.45,4.38,11294
0.51,Ideal,G,VS2,61.0,56.0,5.17,5.2,3.16,1585
1.07,Ideal,G,SI1,62.2,56.0,6.52,6.56,4.07,5551
1.61,Ideal,G,VS2,62.2,56.0,7.57,7.5,4.69,9521
0.74,Premium,E,VS2,62.7,58.0,5.72,5.77,3.6,3285
0.3,Premium,H,SI1,60.1,55.0,4.41,4.38,2.64,554
0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,872
0.71,Ideal,D,VS2,60.1,56.0,5.77,5.83,3.48,4029
1.71,Very Good,J,VS1,61.9,59.0,7.6,7.69,4.73,10428
0.78,Ideal,E,SI2,60.8,56.0,5.98,5.92,3.62,2340
0.58,Ideal,E,VS2,62.1,55.0,5.35,5.34,3.32,1761
0.79,Premium,D,SI1,61.4,59.0,5.96,5.89,3.64,3058
1.0,Premium,D,VVS2,61.6,60.0,6.41,6.36,3.93,10046
0.3,Ideal,H,IF,61.8,57.0,4.31,4.36,2.68,764
0.24,Premium,E,VS2,62.6,58.0,4.03,3.99,2.51,536
0.33,Ideal,D,VS2,62.6,56.0,4.39,4.43,2.76,781
1.2,Very Good,G,VVS1,60.9,59.0,6.87,6.79,4.16,9139
0.33,Premium,H,VVS2,61.6,58.0,4.42,4.45,2.73,666
0.42,Ideal,G,VVS2,61.3,56.0,4.81,4.82,2.95,1031
0.3,Ideal,F,VVS1,61.9,57.0,4.3,4.32,2.67,776
0.3,Ideal,E,VS2,62.8,56.0,4.32,4.28,2.7,844
0.52,Ideal,D,VS2,62.2,56.0,5.16,5.13,3.2,1919
0.4,Premium,G,SI1,61.4,60.0,4.71,4.67,2.88,900
0.31,Good,G,VS2,63.4,59.0,4.29,4.32,2.73,544
0.7,Very Good,J,SI2,63.6,56.0,5.57,5.63,3.56,1609
0.31,Very Good,E,VS1,61.9,56.0,4.32,4.37,2.69,636
0.33,Premium,D,SI1,60.1,59.0,4.49,4.46,2.69,780
0.7,Ideal,F,SI2,62.8,55.0,5.68,5.65,3.56,2138
